id,player_id,group_id,start,end,current,playing
195,83,22,2003-11-24,2015-06-09,f,t
300,285,41,,2014-11-15,f,t
192,520,21,2012-11-20,,t,t
331,773,51,,2015-04-22,f,t
196,258,22,2011-11-06,,t,t
197,228,22,2012-06-27,2013-05-30,f,t
200,227,24,2011-08-14,2013-01-13,f,t
201,162,24,,2013-02-09,f,t
202,270,24,2011-06-15,2013-01-01,f,t
204,152,25,2010-07-24,2013-01-15,f,t
217,292,27,2011-11-20,2013-04-25,f,t
219,158,28,2012-07-02,2013-06-20,f,t
220,508,29,2012-02-23,2013-05-30,f,t
221,50,29,2012-01-01,2013-05-30,f,t
222,52,29,2012-01-01,2013-05-30,f,t
223,226,30,,2013-07-16,f,t
224,118,30,2011-01-10,2013-06-28,f,t
225,131,30,2012-07-11,2013-07-16,f,t
228,452,30,2012-05-09,2013-01-08,f,t
229,241,31,,2013-07-03,f,t
233,1423,31,,,f,t
235,877,32,2012-08-08,2012-12-31,f,t
236,420,32,2012-01-07,2012-12-31,f,t
238,237,32,2011-11-30,2012-12-31,f,t
239,183,33,2010-12-12,2013-01-31,f,t
242,165,33,2012-07-29,2013-03-08,f,t
243,169,33,,2013-01-21,f,t
244,338,33,2012-12-05,2013-07-25,f,t
246,106,34,2012-02-01,2013-02-11,f,t
248,94,34,2012-06-28,2013-01-16,f,t
251,82,34,2012-05-06,2013-02-11,f,t
252,481,34,2012-01-12,2013-01-16,f,t
254,85,35,2012-11-17,2013-05-17,f,f
256,111,36,,2012-12-31,f,t
259,213,37,2012-12-21,2013-02-02,f,t
260,167,37,2011-09-22,2013-02-02,f,t
261,127,37,2011-06-15,2013-02-02,f,t
262,209,37,2011-06-15,2013-02-02,f,t
263,532,37,2012-08-24,2013-02-02,f,t
264,462,37,2011-06-15,2013-02-02,f,t
265,394,37,2011-06-15,2013-01-01,f,t
266,686,37,2011-06-15,2013-02-02,f,t
267,42,38,2012-02-17,2013-01-10,f,t
268,243,38,,2013-01-16,f,t
272,334,38,2011-06-28,,t,t
273,295,39,2012-05-15,,t,t
743,266,38,2011-06-12,2011-07-03,f,t
276,384,39,,2013-09-09,f,t
279,184,39,,2011-01-02,f,t
282,366,39,2012-12-14,2013-08-01,f,t
283,180,39,,2013-09-09,f,t
287,155,40,2010-09-07,2013-05-09,f,t
291,572,40,,2013-02-05,f,t
293,126,40,2011-07-20,2013-03-15,f,t
298,160,41,2011-08-02,,t,t
299,145,41,2011-08-02,,t,t
302,306,41,2011-08-02,,f,t
303,184,14,2013-01-02,2013-06-17,f,t
304,59,42,2012-10-30,2013-01-03,f,t
305,634,42,2012-09-19,2013-01-03,f,t
307,437,43,,2013-09-01,f,t
308,1372,43,,2013-09-11,f,t
309,1105,43,,2013-09-11,f,t
310,1727,43,,2013-09-11,f,t
311,144,44,,,t,t
313,96,45,2012-05-01,2013-03-17,f,t
314,185,46,2012-08-05,2013-03-08,f,t
315,272,46,,2013-03-08,f,t
316,595,46,,2013-03-03,f,t
317,359,46,,2013-03-08,f,t
318,360,48,2012-05-02,2013-06-20,f,t
320,396,48,2012-11-20,2013-04-25,f,t
326,836,50,,2013-02-02,f,t
327,1241,50,,2013-02-02,f,t
328,1253,50,,2013-02-02,f,t
329,433,50,,2013-02-02,f,t
330,1182,50,,2013-02-02,f,t
184,75,20,2012-06-29,2013-06-27,f,t
271,496,38,,2013-11-07,f,t
306,27,43,2011-08-14,2013-11-16,f,t
191,1649,21,2012-11-20,2013-12-01,f,t
294,90,40,2012-12-10,2013-12-12,f,t
218,78,28,2012-10-20,2013-12-18,f,t
182,328,20,,2013-12-31,f,t
199,36,23,2012-01-13,2013-12-31,f,t
198,58,22,2010-03-24,2013-12-31,f,t
189,356,21,2012-11-20,2013-11-28,f,f
173,81,18,2011-11-21,2014-01-14,f,t
334,281,51,2012-08-16,2014-01-14,f,t
203,163,24,,2014-01-15,f,t
250,140,34,2011-05-08,2014-02-04,f,t
292,364,40,,2014-02-06,f,t
211,994,26,2012-11-21,2014-03-03,f,f
322,392,48,2012-02-03,2013-11-01,f,t
227,41,30,,2014-05-07,f,t
212,196,27,2012-09-30,2014-03-28,f,t
295,10,40,2012-09-10,2013-08-07,f,t
249,192,34,2012-07-18,2014-04-26,f,t
231,97,31,,2014-05-01,f,t
301,249,41,2011-10-09,,t,t
290,46,40,2011-12-30,2014-06-30,f,t
237,88,32,2012-08-25,2014-07-01,f,t
284,221,39,,2014-07-15,f,t
324,336,48,2012-01-31,2014-05-26,f,t
230,53,31,,2014-09-04,f,t
312,193,45,2010-07-27,2012-10-17,f,t
323,349,48,2012-06-19,2014-08-18,f,t
335,1458,52,2012-03-14,2013-02-14,f,t
1443,4373,62,,2013-02-12,f,t
3451,5857,260,,,t,t
341,1653,53,,2013-08-01,f,t
343,283,54,2012-12-12,2013-05-31,f,t
3452,5831,260,,,t,t
3453,5552,260,,,t,t
3454,5833,260,,,t,t
253,142,35,,2015-10-15,f,t
208,28,26,2012-11-21,2015-12-16,f,t
207,26,26,2011-07-19,2016-01-20,f,t
188,565,21,2012-05-24,2015-06-04,f,t
205,72,26,2012-02-11,2016-03-01,f,t
206,354,26,2012-01-05,2016-03-01,f,t
340,298,53,,,f,t
321,130,48,2012-08-30,2016-04-19,f,t
245,210,33,2012-11-19,2016-04-22,f,t
270,975,38,2011-02-07,,f,t
258,401,36,,,f,t
275,282,39,2012-05-15,,f,t
277,170,39,2012-05-15,,f,t
281,235,39,2012-05-15,,f,t
289,73,40,2012-12-06,2016-11-01,f,t
213,488,27,2011-09-05,,f,t
214,290,27,2011-01-10,,f,t
215,135,27,2012-09-01,,f,f
181,179,19,2010-07-24,2016-12-23,f,t
288,358,40,,2017-01-01,f,t
286,129,40,2011-08-16,2017-01-01,f,t
297,139,40,2012-05-18,,f,t
333,119,51,2012-03-08,,f,t
332,663,51,,,f,t
232,252,31,,,f,t
234,60,31,,,f,t
241,273,33,2011-11-11,,f,t
342,709,53,,,f,t
338,1605,52,,,f,t
339,1681,52,2012-03-18,,f,t
296,107,79,2011-09-22,2012-07-24,f,t
193,416,21,2012-11-20,2015-01-27,f,t
280,635,39,,2018-01-01,f,t
3455,5858,260,,,t,t
349,217,56,2012-06-01,,f,t
352,1160,57,2012-10-15,2013-07-21,f,t
354,677,57,2012-12-04,2013-08-20,f,t
355,1679,57,,2013-09-24,f,t
356,551,57,2012-11-23,2013-09-24,f,t
357,1283,58,,2013-05-07,f,t
358,932,58,,2013-05-07,f,t
359,1731,58,,2013-05-07,f,t
455,262,22,2010-04-19,2010-07-02,f,t
362,607,58,,2013-05-07,f,t
366,188,59,2012-06-27,2012-11-11,f,t
367,324,60,,,t,t
369,474,60,,,t,t
373,311,46,2012-12-14,2013-03-08,f,t
374,568,46,2012-08-06,2013-02-04,f,t
379,476,62,,2013-04-02,f,t
380,86,47,,2012-10-17,f,t
381,77,47,2011-04-11,2012-11-03,f,t
382,994,47,,2012-11-03,f,f
383,43,47,2012-07-26,2012-11-03,f,t
384,85,47,,2012-11-03,f,t
385,28,47,,2012-11-03,f,t
386,35,47,,2012-11-03,f,t
387,98,47,,2012-11-03,f,t
388,542,6,2012-12-31,2013-07-23,f,t
389,434,18,2012-10-04,2012-12-17,f,t
390,262,18,2010-07-02,2012-09-20,f,t
391,271,18,2010-03-29,2012-08-07,f,t
392,129,18,2010-09-25,2011-08-16,f,t
393,129,19,2010-06-17,2010-09-25,f,t
394,129,63,,2010-06-17,f,t
395,1274,47,2012-03-25,2012-11-03,f,t
396,215,47,2012-03-25,2012-11-03,f,t
397,1346,47,2012-03-25,2012-11-03,f,t
398,76,47,2012-03-25,2012-11-03,f,t
399,33,47,2011-08-30,2012-11-03,f,f
400,120,47,,2012-11-03,f,f
401,25,47,2011-08-17,2012-11-03,f,f
402,124,47,,2012-09-01,f,f
403,122,47,2011-11-28,2012-07-26,f,t
404,142,47,2011-09-24,2012-07-17,f,t
405,57,47,2011-02-15,2012-03-13,f,t
