id,name,shortname,scoreak,scorepl,founded,disbanded,active,homepage,lp_name,is_team,is_manual,meanrating
115,Team Replika,Replika,0,0,,,f,"",Team Replika,t,t,-10
203,Noah's Ark,Noah's Ark,0,0,2012-07-06,2012-11-28,f,"","",t,t,0
3,Prime,Prime,0,0,2010-10-13,2015-12-02,f,http://sc2prime.com/xe/,Prime,t,t,-10
11,Samsung Galaxy Khan,Samsung,0,0,,2016-10-18,f,http://www.samsungkhan.co.kr/,Samsung_Galaxy,t,t,-10
340,BaseTradeTV,BTTV,0,0,,,f,"",BaseTradeTV,t,t,-10
338,Enclave Team,ENV,0,0,,,t,"","",t,t,-10
328,Digital Chaos,DC,0,0,,,t,"","",t,t,-10
269,Boreal eSports,BrL,0,0,,,f,"","",t,t,-10
78,eSahara,eSahara,0,0,2011-07-09,2012-03-22,f,,,t,t,
12,SK Telecom T1,SKT T1,0,0,,2016-10-18,f,"",SK Telecom T1,t,t,-10
67,Team LDLC.com,LDLC,0,0,2010-08-08,,t,http://www.team-ldlc.com/,"",t,t,-10
56,World Elite,WE,0,0,,,f,"",World Elite,t,t,-10
268,Kaos Latin Gamers,KLG,0,0,2013-01-03,,f,"",Kaos_Latin_Gamers,t,t,-10
47,SlayerS,SlayerS,0,0,2010-11-30,2012-11-03,f,,,t,t,
337,FOX Gaming,FØX,0,0,2016-12-28,,f,"",User:UltrA/Team_FØX_Gaming,t,t,-10
17,AZUBU,AZUBU,0,0,2012-08-01,2014-02-28,f,"",Azubu,t,t,-10
210,Renegades of Hell,RoH,0,0,,,f,"",Renegades of Hell,t,t,-10
5,FXOpen e-Sports Europe,FXO.EU,0,0,2012-03-03,2013-04-09,f,http://teamfxo.com/,FXOpen e-Sports,t,t,
227,Multitude Gaming,MxG,0,0,2012-03-20,2012-09-30,f,"","",t,t,0
189,No Dice Gaming,NDGame,0,0,2014-01-01,,f,http://www.ndgaming.org/,No_Dice_Gaming,t,t,-10
184,Love Your Girlfriend,LYGF,0,0,2013-02-20,2014-03-17,f,"","",t,t,-10
57,Clarity Gaming,Clarity,0,0,2012-09-27,2014-05-23,f,http://claritygaming.com/,Clarity Gaming,t,t,-10
10,KT Rolster,KT,0,0,,2016-10-18,f,http://sports.kt.com/,KT Rolster,t,t,-10
292,Apocalypse eSports,AeS,0,0,,2016-01-27,f,"","",t,t,0.531141193783147
181,Ecko Esports,eCKo,0,0,2013-04-08,2016-07-01,f,"",Ecko_Esports,t,t,-10
378,1stCav,1stCav,0,0,2017-12-14,,f,"","",t,t,-10
283,Rival Gaming,Rival,0,0,,2018-03-01,f,"",Rival_Gaming,t,t,0.356218517500675
85,eXelon Gaming,eXelon,0,0,2009-09-01,2012-08-29,f,,,t,t,
282,Cosmic Cloud Militia,cloudM,0,0,,,f,"","",t,t,-10
161,CorePlay,CPLAY,0,0,2012-08-01,,f,http://www.cplay.de/teams/,"",t,t,-10
9,CJ Entus,CJ Entus,0,0,,2016-10-18,f,"",CJ Entus,t,t,-10
326,Vicious Killers,VK,0.271139240506329,0,,,t,"",Vicious_Killers,t,t,-10
198,MELTDOWN eSports team,MELTDOWN,0,0,2014-05-15,,f,"","",t,t,-10
123,Team eXtensive,eXtensive,0,0,2012-02-09,2013-02-09,f,http://www.team-extensive.eu/,Team eXtensive ,t,t,
58,Wayi Spider,Wayi,0,0,,,f,http://www.wayispider.com/,Wayi Spider,t,t,-10
106,Team Immunity,Immunity,0,0,,,f,http://www.team-immunity.com/,Team Immunity,t,t,-10
211,CrossFire Gaming,CG,0,0,2014-02-28,2014-06-22,f,"","",t,t,0
153,oGaming,oGaming,0,0,2013-05-23,,f,http://teamogaming.net/,Team_oGaming,t,t,-10
318,Almost Perfect eSports Club,APeC,0,0,2016-07-25,,f,"",Almost Perfect eSports Club,t,t,-10
250,Sharks Esports,SHARKS,0,0,2014-09-10,,f,"","",t,t,-10
271,Team Skill Kapped,TSK,0,0,,,f,"","",t,t,-10
321,Gondor,Gondor,0,0,2016-06-28,2016-07-06,f,"",Gondor,t,t,0
343,SWARM SQUAD,SWARM,0,0,,,f,"","",t,t,-10
104,Tt Apollos,Tt Apollos,0,0,,2014-01-01,f,http://www.ttapollos.com.tw/DOC/,Tt Apollos,t,t,-10
223,Xtreme Latin Squad,xLs,0,0,2011-04-18,2013-01-21,f,"",Xtreme Latin Squad,t,t,0
131,FXOpen e-Sports,FXO,0,0,2010-12-11,2012-10-28,f,,,t,t,
68,Meet Your Makers,MYM,0,0,2010-04-27,2013-05-03,f,http://mymym.onitec.de/?section=home,Meet Your Makers,t,t,
129,Soviet Gaming,Soviet,0,0,2010-11-11,2013-06-20,f,http://sovietgaming.com/misc.php?page=roster#.UTDEjDBhV64,Soviet Gaming,t,t,-10
23,SK Gaming,SK,0,0,2010-08-07,,f,http://www.sk-gaming.com/,SK Gaming,t,t,-10
122,Back2Back Gaming,B2B,0,0,2012-06-03,,f,,,t,t,
48,NewRoSoft,NrS,0,0,2011-03-15,,f,http://www.nrsteam.com/,NewRoSoft,t,t,-10
258,1 Step Ahead,1sA,0,0,,,f,"","",t,t,-10
146,Natus Vincere,Na'Vi,0,0,2011-04-11,2013-11-01,f,http://navi-gaming.com/news.php?ct=1&l=en,Natus_Vincere,t,t,-10
87,Type Gaming,Type,0,0,2011-10-05,2012-10-14,f,,,t,t,
90,Pulse Esports,Pulse,0,0,2012-09-28,2013-09-15,f,http://www.pulseesports.com/,Pulse Esports,t,t,-10
298,Red Wolves,xRW,0,0,,,f,"","",t,t,-10
308,experiMENTAL eSports,eXe,0,0,2016-05-21,,f,"","",t,t,-0.12178305116779
169,Seraphic Nexus,Snx,0,0,2013-07-05,2014-02-21,f,http://www.seraphic-nexus.com/,"",t,t,-10
187,Deimos Esports,Deimos,0,0,2013-03-01,2014-05-03,f,"",Deimos Esports,t,t,0.0196433887633684
27,Alien Invasion,Ai,0,0,,,f,http://www.alien-invasion.eu/,Alien Invasion,t,t,-10
120,Revolution Sports,RS,0,0,2003-01-01,2011-03-24,f,,,t,t,
171,Team Gravity,Grav,0,0,2013-05-22,,f,https://www.facebook.com/TeamGravityOfficial,"",t,t,-10
357,Eternal Dreamers,ED,0,0,,,f,"",Eternal Dreamers,t,t,-10
350,NextGaming,nXg,0,0,,,f,"","",t,t,-10
249,Invasion eSport,Invasion,0,0,2013-12-06,,f,http://www.invasion-esport.com/,User:Inv-Chef/Invasion_esport,t,t,-10
19,Millenium,Millenium,0,0,2010-06-13,2016-12-23,f,http://www.millenium.org/,Millenium,t,t,-10
215,Team BX3,BX3,0,0,,,f,"",Team BX3,t,t,-10
381,Team Cladocera,Cladoq,0.38126582278481,0,,,t,"",Team_Cladocera,t,t,-10
276,Forged Force Gaming,FoFoG,0.191518987341772,0,,,t,"",http://wiki.teamliquid.net/starcraft2/User:ForgedForceGaming,t,t,-10
407,Chivo SC,Chivo,0.865569620253164,0,2019-01-04,,t,"","",t,t,-10
60,eSuba,eSuba,0,0,,,f,http://www.esuba.eu/index.php?action=&lang=en&filter=,eSuba,t,t,-10
114,Eternity Gaming,Eternity,0,0,2012-05-07,2014-01-05,f,http://www.eternity-gaming.org/,Eternity Gaming,t,t,-10
401,Simplicity,"",0,0,2018-11-01,,f,"","",t,t,-10
192,Team Darkstar,Darkstar,0,0,2013-01-13,2016-05-16,f,http://www.teamdarkstar.com/,Team Darkstar,t,t,-10
83,Team Legion,Legion,0,0,2011-10-08,2012-10-16,f,"","",t,t,
72,Praetoriani,Prae,0,0,2010-11-12,2011-05-08,f,,,t,t,
245,Havoc Gaming,HvG,0,0,2014-06-30,,f,"","",t,t,-10
36,GamersLeague,GL,0,0,,,f,"","",t,t,-10
61,Dream,Dream,0,0,2011-12-07,2012-06-01,f,"",Dream (team),t,t,
43,Gama Bears,Gama,0,0,,2013-11-16,f,"",Gama Bears,t,t,-10
243,StraTk Gaming,StraTk,0,0,2012-01-01,2014-07-01,f,"",User:Anoteros/StraTk_Gaming,t,t,-10
314,HD Game,HDGame,0,0,,,f,http://hdgame.net/,HD_Game,t,t,-10
175,MaxFloPlaY,"",0,0,2011-06-11,,f,http://www.maxfloplay.pl/,MaxFloPlaY,t,t,-10
188,Team ROCCAT,ROCCAT,0,0,2013-06-05,,f,"",Team ROCCAT,t,t,-10
173,The Last Resort,TLR,0,0,2011-11-08,,f,http://www.tlr-esports.co.uk/,The_Last_Resort,t,t,-10
226,RAGE eSports,RAGE,0,0,,2011-06-24,f,"","",t,t,0
232,Frost eSports,"",0,0,2012-02-01,2013-01-01,f,"","",t,t,-10
109,Carnage eSports,Carnage,0,0,2011-03-14,2012-11-18,f,"","",t,t,
311,DetonatioN Gaming,DNG,0,0,,,f,http://team-detonation.net/,DetonatioN_Gaming,t,t,-10
322,RYE E-SPORTS,RYE,0,0,2016-07-06,2016-12-06,f,"",RYE E-SPORTS,t,t,-10
26,Team Acer,Acer,0,0,2011-07-19,2016-03-01,f,http://www.aceresport.com/,Team Acer,t,t,-10
221,LaG Gaming,LaG,0,0,,,f,"","",t,t,0
290,Ancien Regime,ÆR,0,0,,,f,"","",t,t,-10
8,New Star HoSeo,NSH,0,0,2011-02-26,2013-07-31,f,http://www.shoseo.ac.kr/ver3/major/210/main.asp,New Star HoSeo,t,t,
228,Team Epidemic,"",0,0,,2012-07-02,f,"","",t,t,0
126,Team Nightmares,Nightmares,0,0,2011-07-16,,f,,,t,t,
197,Solaris Gaming,Solaris,0,0,2014-05-07,2015-01-07,f,http://solaris-gaming.com/,Solaris_Gaming,t,t,-10
339,Iron Chain,IOC,0,0,,2019-02-12,f,"",Ir0nChain,t,t,1.112157043937
128,nexmultigaming,nex,0,0,2013-01-01,2013-12-01,f,http://www.nexmultigaming.de,Nexmultigaming,t,t,-10
300,SpaceCraft,SpaceCraft,0,0,2016-04-19,,f,"",Team SPACECRAFT,t,t,-10
108,TyLoo,TyLoo,0,0,,2013-05-07,f,http://www.tyloogaming.com/,TyLoo,t,t,
260,Esos Gaming,Esos,0,0,2013-06-01,,f,"","",t,t,-10
303,Ting,Ting,0.810759493670886,0,2016-04-23,,t,"","",t,t,-10
309,Death Zone,DhZ,0.270886075949367,0,,,t,"","",t,t,-10
419,Ocean Gaming,Ocean,0.839367088607595,0,2019-01-20,,t,"","",t,t,-10
18,Team Liquid,Liquid,0.887088607594936,0,,,t,http://www.teamliquidpro.com/,Team Liquid,t,t,1.2823816258742
22,mousesports,mouz,0.696582278481013,0,2010-03-24,,t,http://www.mousesports.com/,mousesports,t,t,-10
408,Resurgence,Resurgence,0.194430379746835,0,2019-01-04,,t,"","",t,t,-10
327,Splyce,Splyce,0.921518987341772,0,2016-12-01,,t,https://splyce.gg/,Splyce,t,t,-10
154,Zenith of Origin,ZOO,0,0,2012-12-27,2017-02-02,f,"",Zenith_of_Origin,t,t,-10
166,AT Gaming,AT,0,0,2010-10-01,2017-03-18,f,"",AT_Gaming,t,t,-10
152,Downfall Esports,Downfall,0,0,2013-04-03,,f,http://www.downfall-esports.org/,Downfall Esports,t,t,-10
4,FXOpen e-Sports Korea,fOu,0,0,2011-07-18,2013-12-25,f,http://fou.co.kr,For_Our_Utopia,t,t,0.563113645056156
191,Team Micro GamerZ,MGZ,0,0,2014-02-18,2014-11-10,f,http://microgamerz.com/,Micro_GamerZ,t,t,0.266245036653801
71,Online Kingdom,OK,0,0,2010-05-13,2011-11-23,f,"","",t,t,
320,Team expert,expert,0,0,2016-08-17,2018-07-31,f,"","",t,t,-10
200,All Gamers,All Gamers,0,0,2010-03-31,,f,,All Gamers,t,t,0
416,Destruction Gaming,DG,0,0,2019-02-21,2019-03-31,f,"","",t,t,0.650841467785384
254,Rebirth eSports,Rebirth,0,0,2013-09-12,,f,"",User:Rivera/Rebirth_eSports,t,t,-10
105,Yoe Flash Wolves,Yoe,0,0,,,f,http://www.yoe-ironmen.tw/,Yoe Ironmen,t,t,-10
313,Cray Squad,CrayS,0,0,2016-07-04,,f,"","",t,t,-10
20,Western Wolves,WW,0,0,,2013-12-31,f,http://westernwolves.com/,Western Wolves,t,t,-10
182,Time of Rising,ToR,0,0,2012-07-02,,f,"","",t,t,-10
172,IvDgaming,IvD,0,0,,,f,http://www.ivdgaming.com/ivd-info/,"",t,t,-10
252,Skill Forge,Skill Forge,0,0,2013-09-01,,f,http://www.sforge.eu/,User:PhobosSc2/Skill_Forge,t,t,-10
251,What's Your Game,WYG,0,0,,,f,"","",t,t,-10
396,XTEN Esports,XTEN,0,0,2018-08-01,,f,"",XTEN_Esports,t,t,-10
49,The Drop Bears,TDB,0,0,,,f,http://www.dbgaminggear.com.au/shop/index.php?route=information%2Fnews&news_id=23/,The Drop Bears,t,t,-10
302,1F Pro Gaming,1FPro,0,0,,2018-03-01,f,"","",t,t,0.315121083315184
141,Team Iris,Iris,0,0,2012-04-19,2013-07-10,f,"","",t,t,
231,iMpulse eSports,"",0,0,,,f,"","",t,t,0
44,Team Grubby,Grubby,0,0,,,f,"","",t,t,-10
51,GAMECOM Nv,Nv,0,0,2012-02-11,,f,http://www.teamnv.net/,Team Nv ,t,t,-10
218,Alloy eSports,AE,0,0,2013-09-05,2014-09-04,f,"",User:Alloy_eSports/Alloy_eSports,t,t,-0.0317966227247212
100,Mistral eSport,Mistral,0,0,,2013-01-14,f,"","",t,t,
305,Miraculous Hawks,MH,0,0,2014-12-22,,f,"","",t,t,-10
199,Nirvana,Nirvana,0,0,2010-10-08,2011-05-23,f,"","",t,t,0
84,Team Vile,Vile,0,0,2005-01-05,2012-05-04,f,,,t,t,
69,LowLandLions,LLL,0,0,2010-02-04,,f,http://www.lowlandlions.com/index.php,LowLandLions,t,t,-10
62,Monomaniac eSports,mMe,0,0,,2013-04-25,f,"",Monomaniac eSports,t,t,
143,Avant Garde,AVANT,0,0,2012-10-25,,f,"","",t,t,-10
163,Planetkey Dynamics,Planetkey,0,0,2013-08-18,,f,http://www.planetkey.de/,Planetkey Dynamics,t,t,-10
185,metaGameGods,mGG,0,0,,,f,"","",t,t,-10
119,Visualize your Enmity,VyE,0,0,,,f,"","",t,t,
237,Team Menace.fi,Menace,0,0,,,f,"",Team Menace.fi,t,t,-10
32,Virtus.pro,Virtus.pro,0,0,2011-11-30,2014-07-01,f,http://www.virtuspro.org/,Virtus.pro,t,t,-10
96,Sparte Legion,Sparte,0,0,2012-05-08,2012-11-20,f,,,t,t,
204,Canis Lupus Campestris,CLC,0,0,2012-01-24,2012-07-06,f,,,t,t,0
113,WeMade FOX,WeMade,0,0,,2011-08-31,f,"","",t,t,
139,Made in Thailand e-Sports,MiTH,0,0,,,f,"",Made in Thailand e-Sports,t,t,-10
217,Rip zeez,"",0,0,2012-07-09,,f,"","",t,t,-10
224,Team aiR,aiR,0,0,2011-09-03,,f,"","",t,t,0
149,Flash eSports,Flash,0,0,,,f,http://www.flash-esports.com/,"",t,t,-10
293,Defenders of Homeland,DH,0,0,,,f,"","",t,t,-10
89,Team Property,prOperty,0,0,2010-07-24,,f,http://teamproperty.net/,Team Property,t,t,-10
94,Team Infused,Infused,0,0,,,f,http://team-infused.net/,Team Infused,t,t,-10
233,Binary Gaming,Binary,0,0,,,f,"","",t,t,0
329,PRO Kingz,PRØ,0,0,,,f,"","",t,t,-10
208,Phoenix e-Sports,pX,0,0,2012-06-14,2013-09-18,f,"",User:PXtRoy/Phoenix_e-sports,t,t,0
138,Frenetic Array,fray,0,0,2012-09-10,,f,http://www.frenetic-array.com/,Frenetic Array,t,t,-10
33,Dignitas,Dignitas,0,0,,,f,http://www.team-dignitas.net/,Team Dignitas,t,t,-10
202,For.Love,For.Love,0,0,2012-06-04,,f,"","",t,t,0
196,ECV eSports,ECV,0,0,2013-09-24,2018-06-18,f,"",ECVisualize,t,t,-10
80,Cyber Nation,CN,0,0,2010-09-08,2012-04-08,f,,,t,t,
423,Wolf's Pack,Wolf's,0.796708860759494,0.694705882352942,2019-04-05,,t,"","",t,t,1.06579228728789
136,3D!Clan,3D!,0.570126582278481,0.292058823529412,1998-10-01,,t,http://3dclan.ru/,3D Clan,t,t,0.523580751999258
426,Alpha X Latam,AlpXLat,0.372911392405064,0.140058823529412,2019-02-23,,t,"","",t,t,0.233791877841332
412,Mkers,Mkers,0.95139240506329,0.839058823529412,2019-02-12,,t,"",Mkers,t,t,1.32783547678999
414,Icebound Esports,ICY,0.43493670886076,0.208882352941177,2018-12-28,,t,"",Icebound Esports,t,t,0.305146235443537
39,ROOT Gaming,ROOT,0.657721518987342,0.505294117647059,2010-03-22,,t,http://root-gaming.com/,ROOT Gaming,t,t,0.741808675124041
324,Gamers League,Gamers League,0.436835443037975,0.255882352941177,,,t,http://addict-esport.fr/,https://liquipedia.net/starcraft2/User:KanLa/AddicT_eSport,t,t,0.360611864084606
425,AfreecaTV Taiwan,AFTVTW,0.546329113924051,0,,,t,"","",t,t,-10
422,Epikk Esports,Epikk,0.493164556962026,0,2018-09-14,,t,"","",t,t,-10
411,Indycza Armia,IndyK,0.138101265822785,0,2018-07-17,,t,"","",t,t,-10
348,Scythe Esports,Scyth,0.46367088607595,0,2017-06-06,,t,"","",t,t,0.251293781381973
424,Windigo Gaming,Windigo,0.721012658227848,0,2019-04-08,,t,"",Windigo_Gaming,t,t,-10
383,OGaming,OG,0.661645569620254,0,2018-05-24,,t,"","",t,t,-10
420,Team LaoPao,LP,0.794177215189874,0,2019-03-21,,t,,,t,t,-10
155,Silicon Sports,Silicon,0,0,2013-04-10,,f,http://siliconsports.net/,"",t,t,-10
38,CompLexity Gaming,coL,0,0,2010-08-15,,f,http://www.complexitygaming.com/,compLexity Gaming,t,t,-10
353,Team Skyfire,SKF,0,0,,,f,"","",t,t,-10
261,Monolith Team,MT,0,0,2014-01-06,,f,"",Monolith team,t,t,-10
356,Team QLASH,QLASH,0.722911392405063,0,2017-08-03,,t,"",Team QLASH,t,t,-10
417,VietnamGameTV,VGT,0.329113924050633,0,2019-02-21,,t,"","",t,t,-10
389,Wild Boars e-sports ,Wild Boars,0.0588607594936709,0,2017-04-20,,t,"","",t,t,-10
405,Team Reciprocity,Reciprocity,0.864810126582279,0,2018-12-18,,t,http://reciprocity.gg/,Team_Reciprocity,t,t,-10
393,J Team,JT,0.575316455696203,0,2018-07-31,,t,"","",t,t,-10
376,ePunks,ePunks,0.54240506329114,0,,,t,"","",t,t,0.566835941878629
409,Shrek5,Shrek5,0.0859493670886077,0,2019-01-07,,t,"",Shrek5,t,t,-10
263,Try Again,TryA,0,0,2014-07-20,,t,"",Try Again,t,t,-10
333,Blue Dragon eSports,3DE,0,0,,,t,"",Blue_Dragon_e-Sports,t,t,-10
402,Project 5 Esport,Project5,0,0,,,t,"","",t,t,-10
176,Nuit Blanche,nB,0,0,1996-11-01,,t,http://www.teamnuitblanche.gg/,Nuit Blanche,t,t,-10
286,Team LeiFeng,LeiFeng,0,0,2015-07-27,,t,"",Team LeiFeng,t,t,-10
270,BrawL eSports,BrawL,0,0,2015-03-09,,t,,BrawL eSports,t,t,-10
299,Team YP,YP,0,0,2016-02-16,,t,"","",t,t,-10
355,OSC Elite,OSC,0.688860759493671,0,2017-07-31,,t,"",OSC Elite,t,t,-10
14,Jin Air Green Wings,Jin Air,0.986202531645569,0.981411764705883,,,t,http://www.e-sports.or.kr/,8th_Team,t,t,1.70963546495701
213,ReG eSports,ReG,0.166708860759494,0,2013-02-25,,t,http://reg-esports.ru,ReG GaminG,t,t,-10
256,PSISTORM Gaming,PSISTM,0.911139240506329,0.851235294117648,2014-08-27,,t,http://www.psistorm.com,PSISTORM_Gaming,t,t,1.29995074643511
380,Infinity Gaming,IxG,0.815696202531646,0.795235294117648,2018-03-09,,t,"",Infinity Gaming,t,t,1.15585022734365
388,Black Night,BlackN,0.584683544303798,0.440411764705883,2018-07-02,,t,"","",t,t,0.590032605138443
297,LiT Esports,LiT Esports,0.319367088607595,0,,,t,"","",t,t,0.0690180281735613
319,Gplay,Gplay,0.265443037974684,0,2016-07-26,,t,http://www.gplay.bg/,Gplay.bg,t,t,-10
183,SYF Gaming,SYF,0.510886075949368,0,2013-10-23,,t,"","",t,t,-10
50,4Not,4Not,0,0,,2013-02-02,f,,,t,t,
234,exioN Gaming,exioN,0,0,,,f,"","",t,t,0
168,Karnage eSports,Karnage,0,0,2011-01-09,,f,http://karnage-esports.org/,Karnage_eSports,t,t,-10
262,Dynasty Esports,DynSL,0,0,2015-01-09,,f,"","",t,t,-10
395,Tollenz Lions,Tollenz,0,0,2018-07-31,2018-12-19,f,"","",t,t,-10
367,Wind and Rain,WaR,0,0,,,f,"","",t,t,-10
257,Miraculous Gaming,MirG,0,0,2014-02-28,,f,"","",t,t,-10
242,FM eSports,FM,0,0,,,f,"","",t,t,-10
91,Eclypsia,Eclypsia,0,0,2012-02-29,2012-12-12,f,,,t,t,
351,Legacy Esports,Legacy,0.555189873417722,0.384941176470589,,,t,"","",t,t,0.503984455221467
368,Wizards Esports Club,Wizards,0.276455696202532,0,,,t,"","",t,t,-10
111,Cascade,Cascade,0.69367088607595,0,2010-10-01,,t,http://teamcascade.net.ua/,Cascade,t,t,-10
394,Team STARCOM,STARCOM,0.60240506329114,0,2018-07-31,,t,"",Team_STARCOM,t,t,-10
404,AGO Esports,AGO,0.746708860759494,0,2018-11-26,,t,"","",t,t,-10
390,Dark Society Gaming,DSG,0,0,2010-08-04,,f,https://drk-society.enjin.com/,Dark Society Gaming,t,t,-10
25,mTw,mTw,0,0,2010-06-30,2013-01-26,f,,,t,t,
