NICKNAME,NAME,BIRTHDATE,MC_NUMBER,TLPD_ID,TLPD_DB,LIQUIPEDIA_PAGE,SC2E_ID,COUNTRY,RACE,PP_SCORE,FOREIGN_KEY1,FOREIGN_KEY2,FOREIGN_KEY3,ROMANIZED_NAME
11,HerO,송현덕,1990-06-20,1,222,3,HerO,255,KR,P,0.0357223326695242,72,74,6694430,Song Hyun Deok
166,Check,이형주,1986-02-14,1,1860,3,Check,165,KR,Z,-0.477460528950662,36,37,6694585,Lee Hyung Joo
126,PuMa,이호준,1991-07-23,1,96,3,PuMa,331,KR,T,0.481626550280416,39,51,6694545,Lee Ho Joon
444,Frozen,장강욱,1990-10-01,1,1952,3,\N,\N,KR,P,-0.625256430483017,47,48,6694852,Jang Kang Wook
10562,Soloist,정재호,\N,1,\N,0,\N,\N,KR,T,-1.33638626778717,93,94,6703587,Jung Jae Ho
2270,SirRobin,Robert Switts,1990-10-04,1,4360,7,SirRobin,\N,US,Z,-1.50110982192846,102,103,6696463,\N
47,ByuN,변현우,1993-05-08,1,951,3,ByuN,213,KR,T,0.469084706124415,141,149,6694466,Byun Hyun Woo
1301,PenguiN,남윤석,1996-03-12,1,4794,1,PenguiN,\N,KR,Z,-0.996412646974839,189,190,6695630,Nam Yoon Suk
148,KrasS,Andreas Ullrich,\N,1,2893,2,KrasS,466,DE,T,-0.855579464820313,124,125,6694567,\N
96,Daisy,이종혁,1991-09-25,1,2748,3,Daisy,511,KR,P,-0.92377133032903,145,146,6694515,Lee Jong Hyuk
172,Strelok,Євген Опаришев,1985-05-25,1,1152,2,Strelok,224,UA,T,-1.06112667987465,197,198,6694591,Evhen Oparyshev
116,SuHoSin,김수호,1988-07-09,1,569,3,SuHoSin,212,KR,Z,-0.720883357443072,96,97,6694535,Kim Soo Ho
9866,DRGLing,이원주,\N,1,\N,0,,\N,KR,Z,-1.36319894977821,104,105,6702941,Lee Won Ju
360,kauP,Alexander Hahn,\N,1,3506,2,,528,DE,T,-1.58263709718938,190,191,6694775,\N
260,MaFia,Timothy He,\N,1,3341,2,MaFia,376,AU,Z,-0.678601793701719,34,35,6694677,\N
70,Moon,장재호,1986-12-14,1,2084,3,\N,117,KR,Z,-0.598476865381281,63,64,6694489,Jang Jae Ho
45,Soulkey,김민철,1991-12-10,1,647,3,Soulkey,519,KR,Z,-0.609121154764204,28,29,6694464,Kim Min Chul
884,MaddeLisk,Madeleine Leander,1986-01-27,1,4543,2,MaddeLisk,\N,SE,Z,-1.44149627255423,130,131,6695257,\N
4331,SpaceMarine,Suayb Köse,1994-03-11,1,\N,0,,\N,DK,P,-1.28019867097028,172,173,6698250,
1934,BLaZeR,Mark Ryan Rapisura,\N,1,3190,3,,\N,PH,T,-2.08342702872089,232,233,6696164,\N
1359,Jimmeh,Jimmy Hoang,\N,1,3397,2,\N,\N,DK,P,-0.967163980336317,61,62,6695681,\N
262,HayprO,Hayder Hussein,1983-06-19,1,1132,3,,43,SE,Z,-0.827615541659406,65,66,6694679,\N
5202,Gamja,김창곤,\N,1,\N,0,\N,\N,KR,Z,-1.18005530033925,175,176,6699026,Kim Chang Gon
88,sLivko,Артём Гаравцов,1989-08-27,1,2579,2,sLivko,380,RU,Z,-1.36247514174654,214,215,6694507,Artem Garavtsov
7999,hinO,Robin Carrière,\N,1,\N,0,,\N,FR,Z,-1.3616283152585,142,143,6701335,
140,NightEnD,Silviu Lazar,1988-02-19,1,1588,3,NightEnD,52,RO,P,-1.06814588973506,213,214,6694559,
477,PoYo,Tom Brekelmans,1990-12-04,1,3524,2,PoYo,524,NL,T,-0.889476096561255,101,102,6694884,\N
300,FanTaSy,정명훈,1991-07-01,1,6,1,FanTaSy,541,KR,T,0.00645600717847139,102,104,6694715,Jung Myung Hoon
1487,ABomB,Alex Thomas,1989-12-27,1,4008,2,ABomB,\N,IE,P,-1.01502401807684,57,58,6695793,\N
458,Forte,김기용,1996-12-26,1,4707,3,SalvatioN,\N,KR,T,-0.96923585125815,81,82,6694865,Kim Ki Yong
1497,Odin,송영민,1987-09-23,1,1964,1,Odin,\N,KR,T,-0.34219507094379,27,28,6695803,Song Young Min
119,mOOnGLaDe,Andrew Pender,1986-07-14,1,1602,3,mOOnGLaDe,69,AU,Z,-0.593994640719374,137,138,6694538,
