NICKNAME,NAME,BIRTHDATE,MC_NUMBER,TLPD_ID,TLPD_DB,LIQUIPEDIA_PAGE,SC2E_ID,COUNTRY,RACE,PP_SCORE,FOREIGN_KEY1,FOREIGN_KEY2,FOREIGN_KEY3,ROMANIZED_NAME
16497,Louis,\N,\N,\N,\N,\N,\N,\N,TW,Z,-1.90827167043907,51,52,6708917,\N
6248,Loumpus,,\N,\N,\N,\N,,\N,DE,P,-1.98869850276981,141,142,6699866,
16523,madoka,\N,\N,\N,\N,0,\N,\N,TW,P,-1.8009419273602,35,36,6708942,\N
11381,Misaki,,\N,\N,\N,0,,\N,CN,Z,-1.71803184641524,96,97,6704327,
6625,Mvp,\N,\N,\N,\N,\N,,\N,AU,Z,-1.20791761175805,114,115,6700191,\N
6579,OwenS,Nicholas Håkansson,\N,\N,\N,0,\N,\N,SE,P,-0.943745602559203,48,49,6700149,\N
4312,Pandii,Audrey Becker,\N,\N,\N,0,\N,\N,US,Z,-0.757199228934057,25,26,6698231,\N
17804,peluchin,\N,\N,\N,\N,\N,\N,\N,\N,Z,-1.78279098472289,28,29,6710171,\N
15450,Radnaatseren,\N,\N,\N,\N,\N,\N,\N,MN,Z,-1.64729203970206,25,26,6707917,\N
9362,Unfeared,\N,\N,\N,\N,\N,\N,\N,NL,T,-0.77271507173694,28,29,6702470,\N
12778,GreyestWolf,\N,\N,\N,\N,\N,\N,\N,DE,T,-1.44508917574384,50,51,6705579,\N
14121,Grom,\N,\N,\N,\N,\N,\N,\N,RU,P,-1.52857975956965,25,26,6706786,\N
13842,Groovyman,,\N,\N,\N,\N,,\N,US,T,-1.84526315822782,84,85,6706530,
17392,HanJoonHee,\N,\N,\N,\N,0,\N,\N,KR,T,-1.5809014631166,26,27,6709774,\N
17010,Hankyou,\N,\N,\N,\N,\N,\N,\N,DE,T,-1.79677207099225,25,26,6709404,\N
9464,SpiderSlayer,\N,\N,3,\N,\N,\N,\N,US,Z,-1.4469556030396,80,81,6702569,\N
14932,Shoes,,\N,3,\N,\N,,\N,FR,P,-2.01069148632122,64,65,6707526,
4563,spok,\N,\N,3,\N,\N,\N,\N,FR,P,-0.970627103719484,56,57,6698450,\N
18488,ShooN,\N,\N,\N,\N,\N,\N,\N,DE,T,-1.82405249669387,29,30,6710804,\N
13566,Silenzio,Andre Lastin,\N,\N,\N,\N,,\N,AT,P,-1.43719122464947,28,29,6706307,
4374,Sonde,Alex Ledoux,\N,\N,\N,0,\N,\N,US,Z,-0.916183771846,27,28,6698287,\N
16161,Teegre,\N,\N,\N,\N,\N,\N,\N,PL,T,-1.70076121647587,31,32,6708592,\N
14820,Teejhan,\N,\N,\N,\N,\N,\N,\N,US,T,-1.67681766137337,29,30,6707421,\N
8578,WING,\N,\N,\N,\N,\N,\N,\N,TH,T,-1.25596468659544,41,42,6701818,\N
688,Yayba,Jarek Pociecha,\N,\N,1164,2,\N,\N,PL,P,-0.798696506992786,47,48,6695084,\N
12262,Null,,\N,\N,\N,0,,\N,\N,Z,-1.30469716710595,25,26,6705104,
6948,Poseidon,张韬,\N,\N,\N,0,,\N,CN,Z,-0.853329580548093,29,30,6700465,Zhang Tao
10463,Rare,\N,\N,\N,\N,0,\N,\N,SV,Z,-1.88362282620122,105,106,6703495,\N
2089,ReAP,\N,\N,\N,\N,\N,\N,\N,US,Z,-0.852352851407095,28,29,6696311,\N
18729,Ronxol,\N,\N,\N,\N,\N,\N,\N,\N,Z,-1.77235718243291,28,29,6711032,\N
4183,Saber,\N,\N,\N,\N,\N,\N,\N,CN,P,-1.80288840840614,188,189,6698115,\N
18394,SharkitoZ,\N,\N,\N,\N,\N,\N,\N,\N,R,-1.85052618848463,30,31,6710713,\N
13464,SharpFlex,,\N,\N,\N,\N,,\N,\N,Z,-1.44272532578828,26,27,6706211,
12094,Andrekarma,Andrea Carmagnola,\N,\N,\N,0,\N,\N,IT,Z,-1.67865764486623,73,74,6704954,\N
18372,Andresinho,\N,\N,\N,\N,\N,\N,\N,PE,P,-1.67029214002468,27,28,6710692,\N
16867,Andrew,\N,\N,\N,\N,\N,\N,\N,CZ,Z,-1.73384434385153,26,27,6709269,\N
10591,Android,,\N,\N,\N,\N,,\N,CA,Z,-1.27092881303858,28,29,6703614,
3643,ANewWind,\N,\N,\N,3930,2,\N,\N,FR,Z,-1.4636306015879,153,154,6697644,\N
14465,Anosan,,\N,\N,\N,\N,,\N,RU,P,-1.55370212489922,26,27,6707108,
1536,Avoid,Tod Jobin,\N,\N,2400,3,,\N,CA,T,-0.843284315740501,57,58,6695840,
3011,Bekho,\N,\N,\N,2467,2,\N,\N,CA,T,-0.513471670490315,27,28,6697072,\N
10580,BettyWhite,\N,\N,\N,\N,0,\N,\N,CA,Z,-1.5960043358752,73,74,6703605,\N
13901,birdyzzle,\N,\N,\N,\N,\N,\N,\N,DE,Z,-1.73961663775345,93,94,6706585,\N
1761,BlueStar,,\N,\N,4665,2,,\N,KR,T,-1.14893533473732,108,109,6696016,\N
18452,BronzeFrever,\N,\N,\N,\N,\N,\N,\N,\N,T,-1.77948696265037,26,27,6710768,\N
11117,BrunoAP,\N,\N,\N,\N,\N,\N,\N,PE,T,-1.64835128511642,68,69,6704090,\N
4862,brzoza,Marcin Brzeziski,\N,\N,\N,0,\N,\N,PL,T,\N,25,26,6698718,\N
17022,Bubblepumper,\N,\N,\N,\N,\N,\N,\N,GR,T,-1.7259418573618,25,26,6709416,\N
11551,Bucket,\N,\N,\N,\N,0,\N,\N,AU,P,-1.39371257955384,30,31,6704478,\N
16009,MJZ,\N,\N,\N,\N,\N,\N,\N,PL,P,-1.72760594810725,28,29,6708453,\N
8963,mmi,Chris Kuklinski,\N,\N,\N,0,\N,\N,US,P,-1.12444112063508,26,27,6702103,\N
18887,MooD,\N,\N,\N,\N,\N,\N,\N,BO,P,-1.76148669998053,25,26,6711207,\N
12619,tPPoR,\N,\N,\N,\N,0,\N,\N,CN,T,-1.48955099179141,30,31,6705432,\N
3716,unyb,\N,\N,\N,4641,2,\N,\N,US,T,-0.748385221282636,27,28,6697711,\N
18099,vantara,\N,\N,\N,\N,\N,\N,\N,\N,P,-1.7171495532483,28,29,6710460,\N
2455,Vanter,Christofer Altin,\N,\N,3608,3,,\N,SE,Z,-1.0318780401809,119,120,6696591,\N
5174,VarEck,\N,\N,\N,\N,\N,\N,\N,CA,P,-0.957602626626786,28,29,6699000,\N
11668,Varkosh,,\N,\N,\N,\N,,\N,DE,Z,-1.30703514032353,26,27,6704586,
12206,Well,\N,\N,\N,\N,\N,\N,\N,DE,P,-1.32269915108079,28,29,6705052,\N
10731,Mordrago,,\N,\N,\N,\N,,\N,PL,P,-1.75230119283571,122,123,6703742,
12509,Morgan,\N,\N,\N,\N,\N,\N,\N,PE,T,-1.36965872771964,26,27,6705336,\N
16479,near,\N,\N,\N,\N,\N,\N,\N,IT,P,-1.76432099750742,29,30,6708899,\N
7511,NickeyMouse,\N,\N,\N,\N,\N,,\N,BY,P,-1.37235955988058,50,51,6700887,\N
9109,NighT,\N,\N,\N,\N,\N,\N,\N,IR,T,-0.847719806714564,27,28,6702232,\N
15304,Nightcrawle,\N,\N,\N,\N,\N,\N,\N,FR,R,-1.6517273814491,26,27,6707777,\N
12415,Paladin,\N,\N,\N,\N,0,\N,\N,DE,P,-1.4345128956522,35,36,6705247,\N
7814,clockwork,Kim Gripenberg,1994-01-01,\N,\N,0,,\N,FI,Z,-1.25407307722179,53,54,6701166,
5748,Clyde,Maël Deyra,\N,\N,\N,\N,,\N,FR,T,-1.68580938845026,151,152,6699430,
11536,CoCoChanel,\N,\N,\N,\N,\N,\N,\N,KR,Z,-0.614637426777517,31,32,6704463,\N
11811,Colibri,\N,\N,\N,\N,\N,\N,\N,\N,Z,-1.30613240836436,26,27,6704704,\N
15113,dbm,\N,\N,\N,\N,0,\N,\N,PL,R,-1.76924030607633,49,50,6707595,\N
15592,Dead1yxAx,\N,\N,\N,\N,\N,\N,\N,RU,R,-1.79453096046254,50,51,6708054,\N
17066,DemonSwaP,\N,\N,\N,\N,\N,\N,\N,CL,Z,-1.77635874702817,33,34,6709458,\N
17439,Denryuu,\N,\N,\N,\N,\N,\N,\N,FR,Z,-1.76403092646353,27,28,6709821,\N
5778,DeVoltS,,\N,\N,\N,\N,,\N,RU,P,-1.44346071780234,95,96,6699459,
8111,Doggy,,\N,\N,\N,\N,,\N,KR,P,-0.895202462178358,36,37,6701429,\N
11368,dome,\N,\N,\N,\N,\N,\N,\N,TH,T,-1.38092081103287,28,29,6704316,\N
16268,draco,\N,\N,\N,\N,0,\N,\N,PL,P,-1.70818958040145,28,29,6708698,\N
6399,Drak,\N,\N,\N,\N,\N,\N,\N,MX,Z,-0.867138545418042,28,29,6699997,\N
2964,eyekenspelSG,\N,\N,\N,2150,2,\N,\N,US,P,-0.501703896004388,25,26,6697029,\N
16116,Ezeth,,\N,\N,\N,\N,,\N,NO,Z,-1.76883937751218,36,37,6708552,
13245,Faceless,,\N,\N,\N,\N,,\N,PL,Z,-1.40848212264589,28,29,6706009,
14297,Firulais21,\N,\N,\N,\N,\N,\N,\N,PE,P,-1.59028328591107,28,29,6706956,\N
2762,FunkMunk,\N,\N,\N,3894,3,\N,\N,US,P,\N,25,26,6696839,\N
16182,Gabrielrere,\N,\N,\N,\N,\N,\N,\N,\N,R,-1.70808966201117,28,29,6708613,\N
13027,Gangi,,\N,\N,\N,\N,,\N,DE,T,-1.41785655288141,29,30,6705806,
16456,JumpyLion,\N,\N,\N,\N,\N,\N,\N,RU,T,-1.70247315602216,28,29,6708877,\N
6517,JUNK,Patrick Plattner,\N,\N,\N,0,,\N,US,T,\N,25,26,6700093,\N
6133,Katoteshiku,\N,\N,\N,\N,\N,\N,\N,DE,Z,-1.03060540349984,30,31,6699768,\N
15215,nine2five,\N,\N,\N,\N,\N,\N,\N,BE,T,-1.64338625774652,26,27,6707695,\N
15455,WiKIIII,\N,\N,\N,\N,\N,\N,\N,TW,P,-1.86362375733988,61,62,6707922,\N
18383,Jaws,\N,\N,\N,\N,\N,\N,\N,\N,Z,-1.82636311605204,27,28,6710703,\N
12703,JaxMine,\N,\N,\N,\N,0,\N,\N,CN,T,-1.70752439781689,39,40,6705513,\N
14751,iman,\N,\N,\N,\N,\N,\N,\N,\N,T,-1.5878472789584,28,29,6707361,\N
9545,Kamina,,\N,\N,\N,\N,,\N,SE,Z,-1.1619584576473,69,70,6702650,
18309,Kamisama,\N,\N,\N,\N,\N,\N,\N,CN,R,-1.76756341076437,28,29,6710663,\N
17095,Perilous,\N,\N,\N,\N,\N,\N,\N,US,Z,-1.71407094887001,25,26,6709486,\N
9779,Pertuba,,\N,\N,\N,\N,,\N,BR,P,-1.15040859344587,28,29,6702857,
18375,LuisJr,\N,\N,\N,\N,0,\N,\N,GT,T,-1.76762424074345,27,28,6710695,\N
5103,Stormz,Michael Gorey,\N,3,\N,0,\N,\N,AU,Z,-1.17589277683515,70,71,6698934,\N
5187,StorN,\N,\N,3,\N,\N,\N,\N,FR,Z,-1.68430378654596,151,152,6699011,\N
3373,StorrZerg,Bob Toner,\N,3,3273,2,\N,\N,US,P,-0.877998962163252,47,48,6697402,\N
3594,Sweetness,\N,\N,3,3977,2,\N,\N,US,P,-1.55758181474944,163,164,6697606,\N
11880,Sweter,Jakub Brożek,\N,3,\N,\N,,\N,PL,T,-1.85123477239337,94,95,6704768,
2171,TheDoctor,Rohit Bhattacharya,\N,3,2513,2,\N,\N,CA,T,-0.925536939931518,49,50,6696377,\N
3396,Sidr,Jeff Lindquist,\N,4,3309,2,\N,\N,US,Z,-0.639652993555671,28,29,6697423,\N
15365,SiewKaiz,\N,\N,4,\N,\N,\N,\N,MY,R,-1.66997801903198,26,27,6707835,\N
14952,Simple,\N,\N,4,\N,\N,\N,\N,AU,R,-1.67919048830942,28,29,6707544,\N
18218,Siso,\N,\N,4,\N,0,\N,\N,SK,Z,-1.8561632670191,32,33,6710574,\N
3290,Omni,\N,\N,\N,3056,2,\N,\N,VE,T,-0.552969367157121,27,28,6697331,\N
16559,Pollyanna,,\N,\N,\N,\N,,\N,\N,T,-1.76149803560723,29,30,6708976,
12889,Prime,\N,\N,\N,\N,\N,\N,\N,MX,Z,-1.42199660955661,27,28,6705681,\N
4463,reaper,\N,\N,\N,\N,\N,\N,\N,DE,Z,-0.92652467063323,29,30,6698361,\N
16187,Reaper,\N,\N,\N,\N,0,\N,\N,US,Z,-1.944586651965,31,32,6708618,\N
17910,RomanKuznetsov,\N,\N,\N,\N,\N,\N,\N,\N,R,-1.77062009573784,27,28,6710275,\N
3518,SaberSC2,,\N,\N,3619,2,,\N,UK,P,-0.693494842967921,28,29,6697538,\N
18025,Saint,\N,\N,\N,\N,\N,\N,\N,FI,Z,-1.83487814627932,26,27,6710386,\N
8102,Shadow,Jimmy Oskarsson,\N,\N,\N,0,\N,\N,SE,Z,-1.13645518122264,32,33,6701420,\N
18428,SharKRippeR,\N,\N,\N,\N,\N,\N,\N,\N,T,-1.84747692326335,30,31,6710745,\N
14467,Tayeb,,\N,\N,\N,\N,,\N,FR,T,-1.58662502599916,27,28,6707109,
4792,Teardrop,Pascal Paraskevopoulos,\N,\N,\N,0,\N,\N,DE,Z,-0.912637545654914,28,29,6698653,\N
6933,Telvo,Artur Adamczyk,\N,\N,\N,0,,\N,PL,Z,-1.63764199901088,118,119,6700450,
12934,Shiro,,\N,\N,\N,\N,,\N,TW,Z,-1.12636170561702,26,27,6705725,
8397,Shiver,\N,\N,\N,\N,0,\N,\N,US,T,\N,25,26,6701653,\N
6340,ShockwaveDK,\N,\N,\N,\N,\N,\N,\N,AU,P,-1.02242819844542,28,29,6699941,\N
17575,ShoeStealer,\N,\N,\N,\N,\N,\N,\N,PL,P,-1.78893880510965,28,29,6709951,\N
6128,shokyu,\N,\N,\N,\N,0,\N,\N,DE,T,-0.98446698009863,28,29,6699764,\N
9053,Shoon,Herman Lerviks,\N,\N,\N,0,\N,\N,FI,T,-0.900880071922128,28,29,6702182,\N
3809,LouCeK,Oldřich Žáček,\N,\N,4192,2,\N,\N,CZ,P,-0.6867327068007,48,49,\N,\N
18639,Arblash,\N,\N,\N,\N,0,\N,\N,PL,P,-1.77093022020251,27,28,6710948,\N
6836,Forepool,\N,\N,\N,\N,\N,\N,\N,US,Z,\N,25,26,6700367,\N
16133,ArcticFox,\N,\N,\N,\N,\N,\N,\N,US,P,-1.67414210360599,28,29,6708566,\N
14484,ardoren,\N,\N,\N,\N,\N,\N,\N,\N,R,-1.58048789569415,25,26,6707117,\N
1087,Arena,윤승욱,\N,\N,2354,1,\N,\N,KR,Z,\N,25,26,6695443,Yoon Seung Wook
13642,Diamanthai,\N,\N,\N,\N,0,\N,\N,DE,Z,-1.61805319934733,35,36,6706377,\N
1130,dirkpiloot,Thomas Roth,\N,\N,2596,2,,\N,DE,T,-0.569794246078958,34,35,6695478,\N
15765,Doom,\N,\N,\N,\N,0,\N,\N,AT,P,-1.73628134850504,35,36,6708219,\N
5200,DrOetker,\N,\N,\N,\N,\N,\N,\N,DE,T,-0.917769920388827,28,29,6699024,\N
13499,DropOut,\N,\N,\N,\N,\N,,\N,NZ,T,-1.43677706454367,26,27,6706245,\N
14945,AgLunae,\N,\N,\N,\N,\N,\N,\N,NL,Z,-1.59706296246948,28,29,6707537,\N
16599,aikrash,,\N,\N,\N,\N,,\N,RU,Z,-1.73144928510137,29,30,6709013,
13915,Kandrew,\N,\N,\N,\N,\N,\N,\N,US,Z,-1.7785024199648,83,84,6706598,\N
10751,Kaneki,\N,\N,\N,\N,\N,,\N,AT,T,-1.3371559009676,27,28,6703762,\N
13971,Kawaii,,\N,\N,\N,\N,,\N,RU,P,-1.54870070460663,30,31,6706649,
17923,RENDER,\N,\N,\N,\N,\N,\N,\N,BO,T,-1.73230818435634,27,28,6710288,\N
14753,Rendu,\N,\N,\N,\N,\N,\N,\N,\N,R,-1.61043558294825,28,29,6707363,\N
15562,klevichel,\N,\N,\N,\N,\N,\N,\N,BY,R,-1.64277250497925,25,26,6708025,\N
10214,Rene,\N,\N,\N,\N,\N,\N,\N,DE,Z,-1.25437702965366,29,30,6703267,\N
11804,Kotimex,\N,\N,\N,\N,\N,\N,\N,SI,Z,-1.30644637575269,27,28,6704697,\N
3084,KreAtuRe,\N,\N,\N,2690,2,\N,\N,\N,Z,-0.516223818594194,28,29,6697142,\N
14258,Manzanoidus,\N,\N,\N,\N,\N,\N,\N,MX,Z,-1.57953607078275,25,26,6706918,\N
13213,MineralThief,,\N,\N,\N,\N,,\N,\N,Z,-1.98532145770948,88,89,6705982,
8650,Mafioso,\N,\N,3,\N,\N,\N,\N,FR,T,-1.19999193438621,28,29,6701870,\N
14378,Mafju,,\N,3,\N,\N,,\N,PL,P,-1.74135932025779,32,33,6707030,
8497,Max,\N,\N,3,\N,\N,\N,\N,US,T,-1.14693739920382,27,28,6701746,\N
4176,Rekanise,Alaric Choo,\N,3,\N,\N,,\N,SG,P,-1.01564375840786,75,76,6698108,\N
5839,Xado,Gill Schelfout,\N,\N,\N,0,\N,\N,BE,P,-0.983438605047833,28,29,6699518,\N
12048,Xerwine,\N,\N,\N,\N,0,\N,\N,CL,Z,-1.51684642220175,37,38,6704916,\N
835,Xsares,Florian Dietachmayr,\N,\N,4734,3,\N,\N,AT,P,-1.01169791311956,36,37,6695213,\N
12664,XVec,Thibault Edouard,\N,\N,\N,0,\N,\N,FR,Z,-1.82586820068959,90,91,6705475,\N
13602,xXxAJxXx,Angel Javier,\N,\N,\N,\N,,\N,ES,R,-1.46010641152767,27,28,6706341,
1632,YeShirah,\N,\N,\N,4359,2,\N,\N,FR,P,-0.798535712628646,29,30,6695916,\N
5914,fincher,\N,\N,4,\N,\N,\N,\N,RU,T,-0.938215709712021,27,28,6699580,\N
18842,RustyMcScruffy,\N,\N,4,\N,\N,\N,\N,US,T,-1.86153385580574,27,28,6711142,\N
12642,schamtoo,\N,\N,4,\N,\N,\N,\N,US,T,-1.47405326213546,28,29,6705453,\N
7919,Scytal,\N,\N,4,\N,\N,\N,\N,AU,P,-0.859848716522215,42,43,6701261,\N
1768,YoonHo,,\N,\N,1936,2,,\N,CA,P,-0.494666038931606,25,26,6696023,\N
17550,客户端,\N,\N,\N,\N,\N,\N,\N,CN,P,-1.74830979842464,28,29,6709927,\N
3384,Secret,John Krause,\N,4,3324,2,\N,\N,US,Z,-0.905377169852679,56,57,6697412,\N
6742,Armires,\N,\N,\N,\N,\N,\N,\N,DE,Z,\N,25,26,6700285,\N
14176,Aro,\N,\N,\N,\N,0,\N,\N,PL,R,-1.94205405741587,59,60,6706840,\N
5455,FrozenImpact,Laimis Dalke,\N,\N,\N,0,\N,\N,EE,T,-1.12532963374465,49,50,6699210,\N
16514,Gouki,\N,\N,\N,\N,\N,\N,\N,UK,R,-1.73108820713909,28,29,6708933,\N
18470,Grumbleball,\N,\N,\N,\N,\N,\N,\N,DE,Z,-1.78776340717659,28,29,6710786,\N
18896,HomeTownCrib,\N,\N,\N,\N,\N,\N,\N,US,Z,-1.81075038155033,25,26,6711217,\N
6921,Inter,\N,\N,\N,\N,\N,\N,\N,AU,P,-1.20587691139254,41,42,6700439,\N
13370,IntoTheRingS,심현승,\N,\N,\N,0,\N,\N,KR,T,-1.61728422067291,94,95,6706122,\N
6379,intowind,王之臣,\N,\N,\N,0,\N,\N,CN,Z,-1.17435273688395,43,44,6699978,Wang Zhichen
12733,IntuitioN,\N,\N,\N,\N,0,\N,\N,US,P,-2.03596962395426,101,102,6705542,\N
14722,Jess,,\N,\N,\N,\N,,\N,RU,P,-1.61057408088403,28,29,6707333,
8911,JeyJeyJ,\N,\N,\N,\N,\N,\N,\N,DE,R,-1.43186325028684,59,60,6702060,\N
3311,Kefka,\N,\N,\N,3657,2,\N,\N,US,P,-0.789119859453443,42,43,6697350,\N
3813,Keisuke,\N,\N,\N,4221,2,\N,\N,CH,T,-0.773092306744926,27,28,6697797,\N
7425,lalapo,\N,\N,\N,\N,\N,\N,\N,HK,P,-0.847035282513128,27,28,6700823,\N
11972,Nightshade,\N,\N,\N,\N,\N,\N,\N,US,P,-1.35444982099866,26,27,6704854,\N
17517,Pale,\N,\N,\N,\N,\N,\N,\N,GT,T,-1.83721820356383,42,43,6709895,\N
18899,Ramu,\N,\N,\N,\N,\N,\N,\N,RU,T,-1.78072961952742,25,26,6711220,\N
11134,RefsiuL,\N,\N,\N,\N,\N,\N,\N,HN,Z,-1.4792497835986,50,51,6704106,\N
1307,Resupp,\N,\N,\N,2005,2,\N,\N,PL,P,\N,25,26,6695636,\N
9681,RetrO,Nathan Rasch,\N,\N,\N,0,\N,\N,US,P,-1.22418748528816,28,29,6702776,\N
11741,Revolution,,\N,\N,\N,\N,,\N,BR,T,-1.43542548168575,43,44,6704653,
11285,Rhoust,Julian Melzer,\N,\N,\N,0,\N,\N,DE,P,-1.80124617398994,112,113,6704239,\N
15423,SakaR,\N,\N,\N,\N,0,\N,\N,BY,Z,-1.80413189243517,52,53,6707892,\N
13925,Cheveniko,,\N,\N,\N,\N,,\N,EC,T,-1.62018321887976,32,33,6706608,
9154,Chiori,Rachel Ferguson,\N,\N,\N,0,\N,\N,UK,Z,-0.895603047229932,30,31,6702275,\N
5133,Terr0,\N,\N,\N,\N,\N,\N,\N,ES,Z,-0.967315095271078,29,30,6698961,\N
3695,TPZ,\N,\N,\N,4011,2,\N,\N,FI,T,-0.721258557167192,38,39,6697692,\N
17618,Xarien,,\N,\N,\N,\N,,\N,NO,T,-1.84418932661924,38,39,6709993,
6784,VOrE,Voitto Häkkinen,\N,3,\N,\N,,\N,FI,T,-1.61763571958076,115,116,6700322,\N
10021,Tactor,Lukas,\N,3,\N,0,\N,\N,CH,Z,-0.921621596896904,26,27,6703086,\N
9984,TaPpAvA,\N,\N,3,\N,\N,\N,\N,\N,P,-1.34882918951393,28,29,6703051,\N
12644,TheCzarOfAll,\N,\N,3,\N,\N,\N,\N,US,Z,-1.46221426168552,28,29,6705455,\N
3935,thedude72727,\N,\N,3,4473,2,\N,\N,\N,P,-0.824812925025135,25,26,6697904,\N
11905,Thorontir,\N,\N,3,\N,\N,\N,\N,DE,P,-1.3892661525751,26,27,6704792,\N
14221,Torrent,\N,\N,3,\N,\N,\N,\N,US,Z,-1.58167926165912,25,26,6706883,\N
16849,Vikage,\N,\N,3,\N,\N,\N,\N,FR,T,-1.8123123948419,26,27,6709251,\N
14004,VinCzi,\N,\N,3,\N,\N,\N,\N,PL,Z,-1.66887155029916,56,57,6706677,\N
13846,Vipor,,\N,3,\N,0,,\N,US,Z,-2.01483530180669,90,91,6706534,
4491,Virium,Josiah Boyer,\N,3,\N,\N,,\N,US,P,-1.37731202892657,103,104,6698386,
17701,VoltageSean,\N,\N,3,\N,0,\N,\N,ID,Z,-1.74691237864056,27,28,6710071,\N
2146,Webz,Erik Weber,\N,3,\N,\N,,\N,US,Z,-0.954074944247575,39,40,6696356,\N
10217,wenez,,\N,3,\N,0,,\N,PL,P,-1.77629481613713,117,118,6703270,
14550,WerA,\N,\N,3,\N,\N,\N,\N,ES,Z,-1.63999743460947,26,27,6707180,\N
12527,Wolfhoundx,,\N,3,\N,\N,,\N,FR,T,-1.64786347284334,50,51,6705354,
16776,SharkyIzrod,\N,\N,4,\N,\N,\N,\N,\N,P,-1.78974985011427,27,28,6709180,\N
9380,SmellyFoot,,\N,4,\N,\N,,\N,AU,P,-0.861515701255899,25,26,6702487,
11732,Virus,\N,\N,4,\N,\N,\N,\N,US,T,-1.45224886530821,40,41,6704645,\N
3471,Shase,\N,\N,\N,3502,2,\N,\N,ZA,P,-0.831063770035059,33,34,6697493,\N
17586,ShiroMawari,\N,\N,\N,\N,\N,\N,\N,JP,R,-1.75482667712877,28,29,6709962,\N
14857,Shiru,\N,\N,\N,\N,0,\N,\N,PL,T,-1.90466660850013,79,80,6707454,\N
3178,shivastrue,\N,\N,\N,\N,\N,\N,\N,SE,Z,-0.770351977335495,26,27,6697227,\N
4518,Xero,\N,\N,\N,\N,\N,\N,\N,NL,T,-0.971891401905896,33,34,6698409,\N
3226,Xenoth,\N,\N,4,3140,2,\N,\N,US,T,-0.594225935384771,28,29,6697272,\N
9375,Story,Chris Krajacic,\N,4,\N,0,\N,\N,AU,T,-0.810705715288671,25,26,6702482,\N
13320,XyOn,,\N,\N,\N,\N,,\N,\N,Z,-1.59355343594542,44,45,6706076,
6711,Zhimon,\N,\N,\N,\N,\N,\N,\N,NO,P,\N,25,26,6700255,\N
6883,Stormstormer,\N,\N,\N,\N,\N,\N,\N,DE,Z,-0.991499446919369,27,28,6700406,\N
9875,Swarmill,Ewen Boigné,\N,\N,\N,0,\N,\N,FR,Z,-1.23073645246289,29,30,6702948,\N
6608,VerCryster,\N,\N,\N,\N,0,\N,\N,TH,P,-1.47859741546404,128,129,6700175,Issariyayoch Boonyawiroch
10180,TerranItUp,,\N,\N,\N,\N,,\N,CA,T,-2.2762674637684,129,130,6703234,
3794,VIP,\N,\N,\N,4226,2,\N,\N,US,P,-0.723677005549607,28,29,6697781,\N
16840,VIP,\N,\N,\N,\N,\N,\N,\N,\N,R,-1.73552370703421,26,27,6709242,\N
9820,ZaToX,\N,\N,\N,\N,\N,,\N,AU,P,-1.20467581745084,26,27,6702897,\N
5790,Pikachu,\N,\N,\N,\N,\N,\N,\N,US,Z,-0.982370417124778,28,29,6699471,\N
17176,Pingüi,\N,\N,\N,\N,\N,\N,\N,ES,T,-1.77352570131352,32,33,6709565,\N
17005,PinkAkuma,\N,\N,\N,\N,\N,\N,\N,TW,T,-1.71956519631984,25,26,6709399,\N
11347,Pinkman,\N,\N,\N,\N,\N,,\N,FI,P,-1.33702664602091,28,29,6704297,\N
15898,piodd,\N,\N,\N,\N,\N,\N,\N,PL,Z,-1.72598386163183,28,29,6708347,\N
7972,xT,\N,\N,\N,\N,\N,\N,\N,CN,Z,-0.799573357619675,26,27,6701310,\N
15580,XtinC,\N,\N,\N,\N,\N,\N,\N,PH,P,-1.75661180398711,48,49,6708042,\N
14011,YooByungHwan,\N,\N,\N,\N,\N,\N,\N,KR,T,-1.39377565751329,26,27,6706684,\N
2610,ZeusRAZER,김선엽,\N,\N,3836,3,\N,\N,KR,P,-0.416317474245294,28,29,6696722,Kim Sun Yub
18804,焦琪昊,\N,\N,\N,\N,\N,\N,\N,CN,R,-1.78544768405339,25,26,6711107,\N
17146,煎饼,\N,\N,\N,\N,\N,\N,\N,CN,Z,-1.62034434029108,28,29,6709536,\N
16653,Kim,\N,\N,4,\N,\N,\N,\N,US,R,-1.7541303877434,28,29,6709063,\N
7854,Kingpanday,Tom Dębicki,\N,4,\N,0,\N,\N,AU,Z,-1.00371023713328,26,27,6701200,\N
14209,MADscientist,\N,\N,4,\N,\N,\N,\N,US,P,-1.59548098697949,25,26,6706872,\N
3913,Staircase,\N,\N,4,4506,2,\N,\N,KR,Z,-0.630999067607398,25,26,6697884,\N
1288,StatiK,\N,\N,4,3134,2,\N,\N,US,P,-0.607180991257876,31,32,6695617,\N
12833,StormDragon,,\N,4,\N,\N,,\N,\N,P,-1.3792924953327,26,27,6705629,
9143,Colour,\N,\N,\N,\N,\N,\N,\N,UK,Z,-0.817688684383938,28,29,6702264,\N
12496,Computer,\N,\N,\N,\N,\N,\N,\N,CL,Z,-1.3599119913414,25,26,6705323,\N
3051,Cool7,\N,\N,\N,2532,2,\N,\N,GT,T,-0.511748077771885,27,28,6697111,\N
11721,Crakel,김기윤,\N,\N,\N,0,\N,\N,KR,T,-1.12972437594044,28,29,6704634,Kim Ki Yoon
16579,DarkKlownPL,\N,\N,\N,\N,\N,\N,\N,PL,P,-1.74957019224616,28,29,6708996,\N
